date,ivix_50,ivix_1000,spread_1000_50,ratio_1000_50,z_20_spread,z_60_spread,z_60_ivix_1000,d1_ivix_1000,d3_ivix_1000,csi1000_close,signal_panic_reversal,signal_spread_revert,signal_spread_revert_confirmed,regime_state,regime_equity_exposure
2024-06-12,14.36,24.08,9.72,1.6768802228412256,-0.3628389113981792,-0.6776697511915791,-0.9457483962721448,0.0,-0.0493485984998025,5216.46,0,0,0,S1,50%
2024-06-13,13.93,22.89,8.96,1.6432160804020102,-1.4053275836205463,-1.1125999452045603,-1.4820420041815463,-0.0494186046511626,-0.0572487644151565,5180.24,0,0,0,S1,50%
2024-06-14,13.8,22.19,8.39,1.6079710144927537,-1.9118630619099668,-1.4589050456875816,-1.8501882375260197,-0.0305810397553516,-0.0784883720930231,5180.65,0,0,0,S1,50%
2024-06-17,13.89,22.51,8.620000000000001,1.6205903527717782,-1.4287723387678344,-1.2846117614843064,-1.6799829418241794,0.0144209103199639,-0.0651993355481725,5183.97,0,0,0,S1,50%
2024-06-18,13.87,22.13,8.26,1.5955299206921414,-1.6497397790817492,-1.509599883700829,-1.8688122207644209,-0.0168813860506442,-0.0332022717343818,5227.25,0,0,0,S1,50%
2024-06-19,14.01,22.77,8.76,1.6252676659528908,-0.9687992979849211,-1.1266165513691364,-1.4680639670169782,0.0289200180750113,0.0261378999549346,5159.99,0,0,0,S1,50%
2024-06-20,14.09,23.03,8.940000000000001,1.6344925479063166,-0.683381631683557,-0.9769431551208334,-1.2819053385540993,0.0114185331576637,0.0231008440693025,5056.14,0,0,0,S1,50%
2024-06-21,13.56,22.7,9.14,1.6740412979351031,-0.367935668107145,-0.8271537361391752,-1.4031519175962006,-0.0143291359096831,0.025756891098057,5055.33,0,0,0,S1,50%
2024-06-24,13.49,24.63,11.14,1.8257968865826537,2.071122629455002,0.5087739355348421,-0.3785156420293577,0.085022026431718,0.0816864295125163,4887.78,0,0,0,S1,50%
2024-06-25,14.21,25.22,11.009999999999998,1.7748064743138632,1.7350457937325932,0.403591210513304,-0.0679139814130185,0.0239545269995939,0.0950933564915326,4847.61,0,0,0,S1,50%
